alpha_deg,CL,CD,CD_parasite,CD_induced,CD_compressible,CD_misc,L_D
-2.000,-0.25185,0.018905,0.000000,0.000000,0.000000,0.000000,-13.32
-1.692,-0.20929,0.017838,0.000000,0.000000,0.000000,0.000000,-11.73
-1.385,-0.16670,0.016951,0.000000,0.000000,0.000000,0.000000,-9.83
-1.077,-0.12410,0.016247,0.000000,0.000000,0.000000,0.000000,-7.64
-0.769,-0.08148,0.015727,0.000000,0.000000,0.000000,0.000000,-5.18
-0.462,-0.03886,0.015393,0.000000,0.000000,0.000000,0.000000,-2.52
-0.154,0.00377,0.015247,0.000000,0.000000,0.000000,0.000000,0.25
0.154,0.04640,0.015291,0.000000,0.000000,0.000000,0.000000,3.03
0.462,0.08902,0.015529,0.000000,0.000000,0.000000,0.000000,5.73
0.769,0.13164,0.015965,0.000000,0.000000,0.000000,0.000000,8.25
1.077,0.17425,0.016601,0.000000,0.000000,0.000000,0.000000,10.50
1.385,0.21684,0.017442,0.000000,0.000000,0.000000,0.000000,12.43
1.692,0.25940,0.018491,0.000000,0.000000,0.000000,0.000000,14.03
2.000,0.30195,0.019752,0.000000,0.000000,0.000000,0.000000,15.29
2.308,0.34446,0.021230,0.000000,0.000000,0.000000,0.000000,16.23
2.615,0.38694,0.022926,0.000000,0.000000,0.000000,0.000000,16.88
2.923,0.42938,0.024844,0.000000,0.000000,0.000000,0.000000,17.28
3.231,0.47178,0.026986,0.000000,0.000000,0.000000,0.000000,17.48
3.538,0.51413,0.029353,0.000000,0.000000,0.000000,0.000000,17.52
3.846,0.55644,0.031945,0.000000,0.000000,0.000000,0.000000,17.42
4.154,0.59869,0.034760,0.000000,0.000000,0.000000,0.000000,17.22
4.462,0.64088,0.037796,0.000000,0.000000,0.000000,0.000000,16.96
4.769,0.68301,0.041050,0.000000,0.000000,0.000000,0.000000,16.64
5.077,0.72508,0.044514,0.000000,0.000000,0.000000,0.000000,16.29
5.385,0.76708,0.048183,0.000000,0.000000,0.000000,0.000000,15.92
5.692,0.80900,0.052048,0.000000,0.000000,0.000000,0.000000,15.54
6.000,0.85084,0.056100,0.000000,0.000000,0.000000,0.000000,15.17
6.308,0.89259,0.060328,0.000000,0.000000,0.000000,0.000000,14.80
6.615,0.93425,0.064722,0.000000,0.000000,0.000000,0.000000,14.43
6.923,0.97582,0.069267,0.000000,0.000000,0.000000,0.000000,14.09
7.231,1.01728,0.073952,0.000000,0.000000,0.000000,0.000000,13.76
7.538,1.05863,0.078765,0.000000,0.000000,0.000000,0.000000,13.44
7.846,1.09986,0.083692,0.000000,0.000000,0.000000,0.000000,13.14
8.154,1.14097,0.088723,0.000000,0.000000,0.000000,0.000000,12.86
8.462,1.18197,0.093846,0.000000,0.000000,0.000000,0.000000,12.59
8.769,1.22284,0.099044,0.000000,0.000000,0.000000,0.000000,12.35
9.077,1.26360,0.104307,0.000000,0.000000,0.000000,0.000000,12.11
9.385,1.30424,0.109623,0.000000,0.000000,0.000000,0.000000,11.90
9.692,1.34477,0.114985,0.000000,0.000000,0.000000,0.000000,11.70
10.000,1.38518,0.120388,0.000000,0.000000,0.000000,0.000000,11.51
