segment,time_min,altitude_km,mach,TAS_ms,CL,CD,LD,mass_kg,thrust_N,drag_N,throttle,aoa_deg,fuel_rate_kgs
climb_1_250kcas,0.00,0.000,0.3779,128.61,0.04876,0.025412,1.92,24035.0,234505.9,18029.0,1.0000,0.291,-2.8671
climb_1_250kcas,0.01,0.037,0.3781,128.61,0.05142,0.025423,2.02,24034.1,233895.4,17972.5,1.0000,0.315,-2.8591
climb_1_250kcas,0.02,0.146,0.3786,128.61,0.05915,0.025458,2.32,24031.5,232087.2,17810.2,1.0000,0.385,-2.8356
climb_1_250kcas,0.05,0.320,0.3793,128.61,0.07131,0.025528,2.79,24027.2,229156.9,17561.0,1.0000,0.495,-2.7980
climb_1_250kcas,0.08,0.550,0.3803,128.61,0.08701,0.025642,3.39,24021.7,225240.2,17251.3,1.0000,0.637,-2.7489
climb_1_250kcas,0.12,0.822,0.3815,128.61,0.10525,0.025811,4.08,24015.1,220535.0,16909.3,1.0000,0.802,-2.6912
climb_1_250kcas,0.17,1.123,0.3828,128.61,0.12504,0.026037,4.80,24007.8,215289.9,16560.7,1.0000,0.981,-2.6282
climb_1_250kcas,0.21,1.438,0.3842,128.61,0.14546,0.026316,5.53,24000.2,209781.2,16226.3,1.0000,1.166,-2.5632
climb_1_250kcas,0.26,1.751,0.3856,128.61,0.16565,0.026638,6.22,23992.6,204285.9,15921.2,1.0000,1.348,-2.4992
climb_1_250kcas,0.31,2.049,0.3870,128.61,0.18484,0.026987,6.85,23985.4,199058.5,15654.8,1.0000,1.521,-2.4391
climb_1_250kcas,0.36,2.320,0.3882,128.61,0.20234,0.027341,7.40,23978.7,194316.4,15431.5,1.0000,1.679,-2.3851
climb_1_250kcas,0.40,2.555,0.3893,128.61,0.21753,0.027676,7.86,23973.0,190233.3,15252.6,1.0000,1.816,-2.3388
climb_1_250kcas,0.43,2.746,0.3902,128.61,0.22990,0.027968,8.22,23968.4,186939.9,15117.0,1.0000,1.927,-2.3017
climb_1_250kcas,0.46,2.886,0.3909,128.61,0.23905,0.028194,8.48,23964.9,184528.4,15022.5,1.0000,2.009,-2.2746
climb_1_250kcas,0.47,2.971,0.3913,128.61,0.24465,0.028338,8.63,23962.8,183059.3,14966.8,1.0000,2.060,-2.2581
climb_1_250kcas,0.48,3.000,0.3914,128.61,0.24655,0.028387,8.69,23962.1,182566.0,14948.5,1.0000,2.077,-2.2525
climb_2_300kcas,0.48,3.000,0.4697,154.33,-0.54859,0.034018,-16.13,23962.1,175983.5,25796.0,1.0000,-35.509,-2.3058
climb_2_300kcas,0.50,3.071,0.4701,154.33,0.14355,0.016113,8.91,23959.6,174856.9,12129.3,1.0000,1.108,-2.2920
climb_2_300kcas,0.55,3.440,0.4722,154.33,0.22229,0.017433,12.75,23952.4,169048.8,12632.1,1.0000,1.800,-2.2216
climb_2_300kcas,0.64,3.915,0.4750,154.33,0.21126,0.017295,12.22,23941.0,161644.7,11923.6,1.0000,1.700,-2.1324
climb_2_300kcas,0.75,4.605,0.4791,154.33,0.26048,0.018481,14.09,23926.6,151131.1,11842.2,1.0000,2.130,-2.0066
climb_2_300kcas,0.89,5.315,0.4834,154.33,0.26805,0.018791,14.26,23910.3,140652.9,11153.2,1.0000,2.192,-1.8819
climb_2_300kcas,1.05,6.106,0.4884,154.33,0.34441,0.021174,16.27,23893.1,129418.1,11520.5,1.0000,2.856,-1.7483
climb_2_300kcas,1.22,6.845,0.4932,154.33,0.34795,0.021426,16.24,23875.9,119390.8,10730.5,1.0000,2.881,-1.6288
climb_2_300kcas,1.39,7.562,0.4979,154.33,0.43779,0.025049,17.48,23859.5,110111.8,11557.4,1.0000,3.661,-1.5178
climb_2_300kcas,1.56,8.190,0.5022,154.33,0.42950,0.024806,17.31,23844.6,102351.9,10637.1,1.0000,3.582,-1.4243
climb_2_300kcas,1.72,8.740,0.5061,154.33,0.52893,0.029721,17.80,23831.4,95863.0,11942.2,1.0000,4.445,-1.3457
climb_2_300kcas,1.86,9.194,0.5093,154.33,0.49214,0.027897,17.64,23820.4,90715.9,10615.7,1.0000,4.117,-1.2829
climb_2_300kcas,1.98,9.544,0.5119,154.33,0.61355,0.034837,17.61,23811.6,86869.0,12704.6,1.0000,5.174,-1.2357
climb_2_300kcas,2.06,9.801,0.5138,154.33,0.49977,0.028398,17.60,23805.3,84122.8,10036.1,1.0000,4.175,-1.2019
climb_2_300kcas,2.12,9.948,0.5149,154.33,0.72946,0.043058,16.94,23801.5,82573.4,14943.5,1.0000,6.185,-1.1827
climb_2_300kcas,2.14,10.000,0.5152,154.33,0.39318,0.023682,16.60,23800.2,82035.9,8166.7,1.0000,3.245,-1.1761
climb_3_M078,2.14,10.000,0.6526,195.49,0.45486,0.025304,17.98,23800.2,81428.1,14000.6,1.0000,3.490,-1.2534
